nodes,label,type,id,orig_label,new_id,preds,confidence
akeyboardanda45.blogspot.com,-1,url,21517,-1,21517,0,0.8600901
worldmeltdown.blogspot.com,-1,url,31574,-1,31574,0,0.85989296
dailytimewaster.blogspot.com,-1,url,36711,-1,36711,0,0.8598337
eliotroporosa.blogspot.com,-1,url,29984,-1,29984,0,0.85979486
suckersonparade.blogspot.com,-1,url,26866,-1,26866,0,0.859731
assovaldisieve.blogspot.com,-1,url,21237,-1,21237,0,0.85971063
krisenfrei.com,-1,url,26830,-1,26830,0,0.8596123
coinalyze.net,-1,url,21168,-1,21168,0,0.85956335
profidecatholica.com,-1,url,39321,-1,39321,0,0.8595355
americafirstreport.com,-1,url,26282,-1,26282,0,0.85945916
nexus-magazin.de,-1,url,39585,-1,39585,0,0.85941327
sermoncentral.com,-1,url,18359,-1,18359,0,0.8593928
eike-klima-energie.eu,-1,url,24472,-1,24472,0,0.85932386
thepeoplesgovernment.com.au,-1,url,23915,-1,23915,0,0.85924006
herbshealthhappiness.com,-1,url,31264,-1,31264,0,0.8590852
chrispaul-labouroflove.blogspot.com,-1,url,37093,-1,37093,0,0.85902804
steven-angelidis.blogspot.com,-1,url,32634,-1,32634,0,0.85889447
theshamecampaign.com,-1,url,31054,-1,31054,0,0.8587154
courtfool.info,-1,url,39503,-1,39503,0,0.8583545
ortneronline.at,-1,url,32160,-1,32160,0,0.8581946
prutzooi.blogspot.com,-1,url,19416,-1,19416,0,0.8580305
vapcig.fr,-1,url,30210,-1,30210,0,0.8579718
nasuma.de,-1,url,18318,-1,18318,0,0.8578281
earthnewspaper.com,-1,url,26175,-1,26175,0,0.85772663
melenchon.fr,-1,url,26801,-1,26801,0,0.85750896
conservativeblogscentral.blogspot.com,-1,url,42920,-1,42896,0,0.85692215
urbanstalker.eu,-1,url,32631,-1,32631,0,0.8568673
pbvdirectory.com,-1,url,29217,-1,29217,0,0.8566148
the-truth-about-the-dept-of-energy.com,-1,url,29754,-1,29754,0,0.8564469
grizzlymama.blogspot.com,-1,url,37086,-1,37086,0,0.855728
fishersvillemike.blogspot.com,-1,url,36713,-1,36713,0,0.8557111
gpsrunningwatchreview.com,-1,url,33340,-1,33340,0,0.855704
timdeatrick.com,-1,url,18364,-1,18364,0,0.8556061
gknews.net,-1,url,21174,-1,21174,0,0.8553875
hintergruende2012.blogspot.com,-1,url,23127,-1,23127,0,0.8553244
straker-61.blogspot.com,-1,url,40383,-1,40383,0,0.8552103
nowarnonato.blogspot.com,-1,url,41227,-1,41227,0,0.85491824
cadalsovive.blogspot.com,-1,url,42896,-1,42887,0,0.8548585
looksmax.org,-1,url,31400,-1,31400,0,0.85464686
centrocentri.myblog.it,-1,url,41761,-1,41761,0,0.8545481
itjust.works,-1,url,20701,-1,20701,0,0.8542056
john-gaultier.blogspot.com,-1,url,42821,-1,42821,0,0.85415775
smoothiex12.blogspot.com,-1,url,17998,-1,17998,0,0.8540924
promovatican.promo,-1,url,40182,-1,40182,0,0.85389715
fawkes-news.blogspot.com,-1,url,41415,-1,41415,0,0.8536674
vikingkitties.blogspot.com,-1,url,38529,-1,38529,0,0.8535374
patriotbites.com,-1,url,39084,-1,39084,0,0.8534928
dressage-des-chiens.fr,-1,url,30208,-1,30208,0,0.8533552
turtlesynt.weebly.com,-1,url,38648,-1,38648,0,0.85334027
