"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
ohiocapitaljournal.com,103018,60263,12835,12835.0,102807,3434,19675.0,416.0,0,83126,62,32,471,920,33,0,12168,474736,218078,7952,3692,6601,4387.0
ohiodnr.gov,754578,282303,90354,90329.0,754118,27940,55189.0,2387.0,376,698630,262,0,14278,238497,19,0,42464,1030550,28461,15340,6726,12481,1042.0
ohioemployerlawblog.com,158939,37535,147335,147335.0,154830,1105,1039.0,34.0,0,153786,865,805,0,13,23,2416,146094,10876448,8420259,697,667,910,2226.0
oilprice.com,5953194,2411779,339982,339976.0,5847949,161125,342600.0,18276.0,730,5503133,2329,3701,5393,3789,704,20,269771,38356372,4660152,35486,15391,30257,17985.0
ojp.gov,13049691,2637202,10788594,10788380.0,12990800,410872,1808495.0,20489.0,847,11182016,56752,39,8730461,118419,416,0,10704826,545760135,105922898,64917,23055,49764,4452.0
okayplayer.com,1046585,499522,7868529,7868384.0,1044015,50561,59016.0,2884.0,85,984942,898,120,9,1081,231,0,7796723,690147850,233511293,27150,7291,13183,44898.0
okcfox.com,227140,118787,85631,85565.0,218310,15746,30237.0,1434.0,25,188062,812,7516,176,1505,40,146,80343,502963,312973,15812,6189,13080,4766.0
okmagazine.com,1698194,520602,117102,117099.0,1692464,115434,145411.0,1717.0,88,1546975,1205,3374,65,1299,1061,42,33158,1032017,499308,50284,9323,19379,3984.0
okshooters.com,12612,7027,3580241,3580233.0,12600,3287,5500.0,1206.0,0,7100,4,0,0,15,0,0,2023340,34843095,4462327,2097,726,909,19410.0
omaha.com,1364644,676733,37657,37655.0,1351192,44673,338801.0,10587.0,26,1012335,1066,5646,2089,9430,470,1410,15417,1653864,475243,40062,15314,29334,3674.0
omny.fm,17124984,7508789,4194357,4193869.0,9161121,501647,2965868.0,2722872.0,40,6191379,129661,2698,481,14203,2309005,14397,2942904,25170085,37537402,61234,23607,64734,43288.0
on3.com,674242,384958,3440087,3439877.0,667965,5057,105235.0,11536.0,356,562701,5793,60,0,824,46,10,3372692,109860149,14736510,11680,4924,9665,5755.0
onegreenplanet.org,763006,290578,145896,145895.0,756245,106091,97259.0,4038.0,281,658059,1604,138,68,2278,175,214,106651,10852412,2166905,30707,11629,23219,24352.0
oneindia.com,21455510,7363592,8760089,8759806.0,21369366,2420083,2147576.0,3207.0,8,19221700,12218,2946,91977,4036,1546,2,8500119,295676230,86602941,68917,11393,21053,7907.0
oneplace.com,6284816,2608802,1461565,1459402.0,6276304,3223523,295396.0,7480.0,0,5980789,954,169,183,18250,3442,44,1118251,37097948,24249975,19309,5160,8624,5189.0
onesteptoweightloss.com,1796,1035,265,265.0,1795,585,568.0,188.0,0,1227,1,0,0,21,0,0,96,2943,1218,385,164,184,71.0
onlineradiobox.com,12585465,4480765,3575161,3575107.0,11912174,5809374,977790.0,952.0,11,10934355,291,643,319,7841,5,0,3572475,95098360,24779269,30485,9644,18482,52369.0
onmilwaukee.com,431961,206284,203149,203144.0,430684,46328,55233.0,1404.0,13,375434,878,43,715,3424,36,4,192476,4791926,1862744,26616,6359,11290,16536.0
openbible.info,277968,144247,95398,95398.0,277174,2483,33094.0,3633.0,387,243662,27,2,1,1001,12,0,94790,1359998,2509283,11387,5191,8488,536.0
opensecrets.org,6910894,2753223,3454602,3453681.0,6908856,108471,541845.0,21626.0,56,6366436,1194,29,221,61714,374,25,3387155,251712424,17957223,72581,20177,42892,4590.0
oprah.com,7166130,2230116,102966,102914.0,7156306,170865,293201.0,24029.0,1792,6860129,646,359,389,199162,150,67,54429,878801,105090,113831,22793,50030,10277.0
optimistdaily.com,57118,32958,8130,8129.0,57064,1970,13651.0,65.0,6,43407,43,0,2,13175,4,0,7770,490980,84081,2560,1620,2210,4496.0
orangejuiceblog.com,427397,111598,34028,34027.0,427335,74065,6209.0,3501.0,0,421126,8,0,417,32,31,0,30474,631101,1397421,2211,939,1164,5801.0
oregonlive.com,7251493,2769705,4464898,4463132.0,7227966,419997,920406.0,53802.0,171,6307103,3293,15940,129387,49474,829,170,1886431,111879684,29930322,188865,33353,77830,106656.0
organicconsumers.org,1971419,602187,31032,30972.0,1970909,72296,111234.0,17603.0,28,1859608,245,23,241,3193,188,0,11212,575458,249436,21291,7847,12787,6971.0
organicfacts.net,599248,183930,10980,10978.0,594655,38532,76322.0,2945.0,124,517527,59,1933,20,399,3,2012,9186,756259,265091,26709,8625,16655,2783.0
