"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"theprovince.com",11087426,4659233,837059,837028,10238631,538638,102198,7276,480,10135891,1629,846717,360,5681,33,275,741660,100372125,35173239,25781,10169,17985,52505
"sfgate.com",36022245,13965437,2334391,2333798,35103091,1467862,4449454,211311,2399,30648934,47888,852685,7110,254415,6119,521,1723760,75816058,23245589,353923,60795,153239,102373
"deccanchronicle.com",13777433,8693385,2048120,2047982,13759222,346018,363754,8815,64,13394805,6518,8381,514,9714748,19,68,1637838,171190987,15358374,39096,14047,25451,3999
"phoenixnewtimes.com",1622009,1022171,125521,124818,1619562,95671,596678,5691,39,1022775,715,1494,140,2904,140,11,111833,18061192,1721503,53514,13136,24412,14800
"calgaryherald.com",12649500,6518148,1495557,1495488,10719851,566508,183397,13117,1138,10535712,4546,1788829,21529,14357,171,69,1071649,139988764,35109509,40151,15123,28389,54976
"thehill.com",61761134,20711480,884046,884034,61302775,1922191,4296160,248978,808,57003000,37283,396163,11398,182381,5700,13196,405551,56749414,7334604,251300,54690,143404,32113
"wtop.com",3340199,2382899,21625,21625,3332365,165846,462454,7565,127,2869654,3299,2865,7780,25926,406,59,14133,1578945,1055698,105236,20098,41611,1876
"lasvegassun.com",4096966,2726036,19038,18352,4089973,69914,316236,11619,86,3773595,3160,3406,499,14548,325,2,11430,576138,206171,65574,19262,35839,1798
"canberratimes.com.au",11416717,5449752,562063,561687,10930716,364684,846290,15330,15,10084372,2146,483236,1971,10929,331,3,406979,12071395,3100900,59675,13979,44595,89751
"triblive.com",6692468,2866403,82896,82892,6675863,151576,420780,4660,29,6254993,4867,7338,681,18466,3432,39,76878,4200094,488212,75292,18318,37608,2300
"reuters.com",759203473,84817678,8959137,8958055,757841555,16424437,25816091,728815,42773,731954645,755507,243165,84176,1292370,152423,2589,4595213,158485494,59612969,858647,136189,394088,51207
"dallasobserver.com",1409834,849771,80852,80069,1407941,136629,195858,2540,22,1211928,1103,293,73,3717,61,3,66103,6825117,792728,45926,11969,21907,10086
"duluthnewstribune.com",943551,524388,56471,56470,917595,33947,182253,2497,13,735305,2411,22993,1098,141264,514,2,45426,2821928,700143,30388,10050,18809,5723
"chron.com",15997473,6498612,1797229,1797163,15525230,675358,2245585,56131,2653,13276688,6876,451270,7147,74241,4152,50,1240648,48162547,16386436,210756,46718,109066,87583
"grandforksherald.com",751872,458922,54793,54790,626979,20249,176269,1811,11,450681,114684,9740,401,6960,443,0,46688,2999387,729584,22816,8642,16480,4723
"arkansasonline.com",1972768,1235075,1535196,1534818,1959352,91492,397706,3078,29,1561561,7044,2655,797,36253,627,0,864945,86739036,19893755,51400,13817,26961,9197
"sun-sentinel.com",8567081,4892167,525251,525244,8541202,198273,926317,28747,60,7614581,9158,14452,1894,20115,1043,27,106247,2636245,918445,132039,26533,59593,7316
"straight.com",1448939,563394,92117,92113,1446942,101468,145693,3736,46,1301195,1684,81,281,100311,58,0,73054,4621443,745874,37496,10713,18656,18452
"baltimoresun.com",37835638,7198502,2632247,2630901,37792123,1467288,859349,19439,1464,36931072,14676,26105,13885,86185,853,30,580870,84806992,14674772,160350,33883,75915,6174
"france24.com",81518122,15951607,1665493,1665478,81386048,10974119,1897218,37920,665,79487810,87054,26014,5481,71265,5578,447,1608770,86881385,62539815,309521,41743,97273,29517
"sandiegouniontribune.com",6887471,3203355,2297870,2297869,6804466,1077648,1405613,17463,302,5398379,52854,13599,8080,80559,5162,350,2245799,211581577,54889652,114526,31988,71858,76633
"smh.com.au",83354228,19682480,5428480,5421450,81619773,1661226,5458369,295662,4760,76153593,165661,1465844,10339,215998,22638,7785,1163969,127419813,37957276,266898,54363,134053,52163
"indianexpress.com",60186388,17553226,1924893,1924862,59926618,3776932,2844693,50909,690,57077612,66182,62003,269897,22928804,2536,428,1707993,226641526,37630067,465418,41137,105490,5248
"euronews.com",35986773,8824497,1765313,1765280,35317281,1783471,2268884,37217,618,33046751,168417,235800,6747,1043124,36090,57,1635049,196047487,34624714,282159,46721,108836,51173
"westword.com",7172881,4712246,126305,125969,7168338,102551,5732113,6764,133,1435986,1509,2342,174,4245,485,39,117572,18643528,1652010,60454,14759,28893,26306
"dnaindia.com",32807575,19989349,2280128,2279240,32664721,8147629,12105670,22416,62,20557320,4573,120544,236173,11278046,1103,31,1812665,65351033,16741940,241785,21661,46168,5148
"uk.reuters.com",5802382,3963937,1060696,1060634,5784550,1328098,649855,25181,275,5133822,3794,4859,743,60137,8827,0,576007,35761102,10014803,93871,33441,69566,2908
